ticker,epochs_trained,train_r2,train_rmse,train_dir_acc,val_r2,val_rmse,val_dir_acc,test_r2,test_rmse,test_dir_acc,target_date,forecast_return
EA,16,0.13391189325070074,0.06989830958983011,63.669893960350386,-0.10824138827471486,0.05905710669673265,59.25925925925925,0.007102907966971328,0.08191885533360753,64.33823529411765,2026-03-11,3.4210086
FANG,17,0.44997637170929916,0.12133828795904004,72.7859778597786,-0.030333901528089013,0.08064148270277198,63.837638376383765,0.13593112015335507,0.07277942199714652,64.20664206642066,2026-03-11,-1.7196596
APD,31,0.9027291164830139,0.020910559278936737,90.45202952029521,0.20495974671802408,0.07144979191694659,73.80073800738008,-0.3480236882272294,0.08049409325173448,63.60294117647059,2026-03-11,-4.967153
AON,17,0.3899472895449607,0.05024211981629447,73.69635440701431,-0.07178392736135675,0.06652931079302486,56.457564575645755,-0.2902245510070869,0.05480749124711173,63.60294117647059,2026-03-11,6.1109304
IR,23,0.7502896755339102,0.05257039823927527,85.63794255177021,-0.2121522171479835,0.09143708678664479,57.21925133689839,-0.18961055657007986,0.07400028824360573,63.297872340425535,2026-03-11,-9.752333
GOOG,16,0.04213569673918838,0.06958374220687463,66.25172890733056,-0.2400483860813658,0.0751220921094897,39.85239852398524,-0.0075987964477362,0.08828024969545777,63.23529411764706,2026-03-11,2.5455952
EXPD,20,0.7587808112428367,0.03082153631801765,83.8635315813739,0.15704618450173125,0.0411157827879169,58.671586715867164,-0.27581046065913095,0.073890817946332,62.86764705882353,2026-03-11,2.0681262
MTD,19,0.5611864853625999,0.050044126323405255,77.96219455970494,-0.04913164626037725,0.08129092952466908,63.837638376383765,-0.8738818167667952,0.10462503884985479,62.86764705882353,2026-03-11,-6.999916
EXC,19,0.4547642205698774,0.046164023850459965,76.91597414589104,-0.38769536554100936,0.0621410569364786,45.018450184501845,0.14059028524320494,0.04549018324612524,62.5,2026-03-11,-0.6175041
BR,16,0.22572417907547904,0.057337528616014634,70.75645756457564,-0.2935390847935444,0.04130925298017664,64.20664206642066,-0.14104535442222255,0.05958288378363552,62.5,2026-03-11,-2.5779843
ADSK,20,0.7115767352205704,0.054157767884527766,83.99446494464945,-0.9546030906389593,0.10872944346921459,40.59040590405904,0.11105485143304528,0.07247280314125651,62.5,2026-03-11,15.947687
