ticker,target_date,forecast_return,test_dir_acc,test_r2
AMGN,2026-03-11,-9.307045,52.57352941176471,-0.10740899959925576
CAH,2026-03-11,0.92612505,52.57352941176471,-0.6152917369824196
COR,2026-03-11,4.2392015,52.57352941176471,-0.47480159721469106
NFLX,2026-03-11,5.9610367,52.57352941176471,-1.123761954293367
QCOM,2026-03-11,2.8102875,52.57352941176471,-0.03029244241469531
LNG,2026-03-11,0.56494474,52.57352941176471,-0.16097058058203784
ADBE,2026-03-11,7.8104854,52.57352941176471,-0.3031794178249203
VZ,2026-03-11,-0.62021613,52.398523985239855,-0.1295155978279925
CCK,2026-03-11,1.5799046,52.20588235294118,-0.20810142139692123
AAPL,2026-03-11,-3.3254862,52.20588235294118,-0.7231385880499202
SBUX,2026-03-11,1.9298553,52.20588235294118,-0.15708369912359887
PEP,2026-03-11,-2.4483383,52.20588235294118,-0.3277790279058381
FSLR,2026-03-11,-2.446103,52.20588235294118,-0.4212612751027902
PLTR,2026-03-11,11.006784,51.9607843137255,-3.0540163405442113
IDXX,2026-03-11,-2.1748722,51.83823529411765,-0.17429621506073678
STE,2026-03-11,0.43655634,51.83823529411765,-0.05496081027161104
ANET,2026-03-11,-7.252085,51.526717557251914,-0.2562889026225461
VEEV,2026-03-11,4.6114326,51.470588235294116,-0.09340210960083684
ALNY,2026-03-11,7.252264,51.291512915129154,-0.23828718512513758
COIN,2026-03-11,1.3707876,51.11111111111111,-3.0443889981509162
CRM,2026-03-11,6.5256476,51.10294117647059,-0.20969831012095064
TXN,2026-03-11,0.4210472,51.10294117647059,-0.09714962461720811
HRL,2026-03-11,0.07543564,51.10294117647059,-0.28954857996902117
IP,2026-03-11,-2.395326,51.10294117647059,-0.13401204272527134
TT,2026-03-11,5.3915977,50.73529411764706,0.049467580030248204
ORCL,2026-03-11,14.35833,50.73529411764706,-0.22271189989532636
IQV,2026-03-11,0.7306695,50.73529411764706,-0.6682653177618887
AXP,2026-03-11,-4.846901,50.73529411764706,-0.5223732636873653
OVV,2026-03-11,-5.8313313,50.73529411764706,-0.3384367250657614
SNPS,2026-03-11,14.4670725,50.36764705882353,-0.3300239505088116
ETN,2026-03-11,2.6096106,50.0,-0.12393301494974596
COP,2026-03-11,-2.7306795,50.0,-0.886442132047246
SLB,2026-03-11,1.6480684,49.815498154981555,-0.4790839381247549
KMB,2026-03-11,3.1115532,49.63235294117647,-0.2885388094879402
ZTS,2026-03-11,-2.9623628,49.63235294117647,-0.48832285744433834
AIZ,2026-03-11,3.5050154,49.63235294117647,-1.813502714304621
NTNX,2026-03-11,-3.1389594,49.50980392156863,-0.06660778241785548
GIS,2026-03-11,2.6964307,49.44649446494465,-2.138770289688692
AMP,2026-03-11,2.206707,49.26470588235294,-1.481321809149605
BG,2026-03-11,-3.214848,49.26470588235294,-0.48971929121263136
MRVL,2026-03-11,12.9706745,49.26470588235294,-0.24498417087378765
MOS,2026-03-11,-0.037825108,49.26470588235294,-0.0497831630488168
TRGP,2026-03-11,2.7403116,49.26470588235294,-0.24912868195045834
TAP,2026-03-11,1.6148448,48.89705882352941,-0.22774237903410954
WDAY,2026-03-11,23.557245,48.708487084870846,-1.749843401339081
EQIX,2026-03-11,-2.3743033,48.529411764705884,-0.5510124799575247
MSFT,2026-03-11,2.1223664,48.529411764705884,-0.5307464109511311
UNP,2026-03-11,-0.61807036,48.529411764705884,-0.19614630664839017
WY,2026-03-11,-2.787453,48.529411764705884,-0.6681768516828528
OC,2026-03-11,-3.406769,48.161764705882355,-0.7560930670197241
SBAC,2026-03-11,0.7188797,48.161764705882355,-0.5065864657405093
MELI,2026-03-11,2.333939,47.794117647058826,-0.445246208983874
LRCX,2026-03-11,4.210794,47.794117647058826,-1.2314513194345102
BXP,2026-03-11,8.718384,47.794117647058826,-0.35778277223970756
CMG,2026-03-11,0.14494658,47.794117647058826,-0.062499608880819846
MSTR,2026-03-11,12.633717,47.05882352941176,-0.4884700245769453
NXPI,2026-03-11,5.692041,46.69117647058824,-0.39811625789167215
CDNS,2026-03-11,6.693113,46.69117647058824,-0.571584316788333
CBOE,2026-03-11,2.576375,46.69117647058824,-0.3228252221240999
CMCSA,2026-03-11,4.7485113,46.69117647058824,-0.7373996060572685
BALL,2026-03-11,1.5281081,46.494464944649444,-0.6504532569023638
JNJ,2026-03-11,-2.3171186,46.494464944649444,-0.7482294730718371
AMD,2026-03-11,-2.090019,46.32352941176471,-0.15659358956905867
